Choice,Year,Value
Boris Johnson,2021-12-19,22
Boris Johnson,2021-12-14,23
Boris Johnson,2021-12-01,27
Boris Johnson,2021-11-24,27
Boris Johnson,2021-11-17,28
Boris Johnson,2021-11-10,27
Boris Johnson,2021-10-12,31
Boris Johnson,2021-09-15,31
Boris Johnson,2021-09-02,32
Boris Johnson,2021-08-25,32
Boris Johnson,2021-08-11,30
Boris Johnson,2021-08-05,31
Boris Johnson,2021-07-28,33
Boris Johnson,2021-07-15,37
Boris Johnson,2021-07-07,33
Boris Johnson,2021-06-29,33
Boris Johnson,2021-06-16,36
Boris Johnson,2021-06-09,35
Boris Johnson,2021-05-27,37
Boris Johnson,2021-05-19,40
Boris Johnson,2021-04-13,34
Boris Johnson,2021-04-07,35
Boris Johnson,2021-03-31,35
Boris Johnson,2021-03-25,37
Boris Johnson,2021-03-18,35
Boris Johnson,2021-03-09,34
Boris Johnson,2021-03-03,36
Boris Johnson,2021-02-25,35
Boris Johnson,2021-02-17,34
Boris Johnson,2021-02-09,33
Boris Johnson,2021-02-02,33
Boris Johnson,2021-01-26,29
Boris Johnson,2021-01-21,31
Boris Johnson,2021-01-13,29
Boris Johnson,2021-01-04,30
Keir Starmer,2021-12-19,34
Keir Starmer,2021-12-14,33
Keir Starmer,2021-12-01,31
Keir Starmer,2021-11-24,28
Keir Starmer,2021-11-17,30
Keir Starmer,2021-11-10,29
Keir Starmer,2021-10-12,25
Keir Starmer,2021-09-15,26
Keir Starmer,2021-09-02,27
Keir Starmer,2021-08-25,27
Keir Starmer,2021-08-11,28
Keir Starmer,2021-08-05,27
Keir Starmer,2021-07-28,28
Keir Starmer,2021-07-15,27
Keir Starmer,2021-07-07,25
Keir Starmer,2021-06-29,27
Keir Starmer,2021-06-16,26
Keir Starmer,2021-06-09,26
Keir Starmer,2021-05-27,25
Keir Starmer,2021-05-19,24
Keir Starmer,2021-04-13,26
Keir Starmer,2021-04-07,29
Keir Starmer,2021-03-31,29
Keir Starmer,2021-03-25,27
Keir Starmer,2021-03-18,29
Keir Starmer,2021-03-09,29
Keir Starmer,2021-03-03,28
Keir Starmer,2021-02-25,31
Keir Starmer,2021-02-17,30
Keir Starmer,2021-02-09,31
Keir Starmer,2021-02-02,33
Keir Starmer,2021-01-26,34
Keir Starmer,2021-01-21,33
Keir Starmer,2021-01-13,34
Keir Starmer,2021-01-04,35
Not Sure,2021-12-19,39
Not Sure,2021-12-14,40
Not Sure,2021-12-01,38
Not Sure,2021-11-24,41
Not Sure,2021-11-17,37
Not Sure,2021-11-10,41
Not Sure,2021-10-12,41
Not Sure,2021-09-15,39
Not Sure,2021-09-02,36
Not Sure,2021-08-25,37
Not Sure,2021-08-11,39
Not Sure,2021-08-05,37
Not Sure,2021-07-28,37
Not Sure,2021-07-15,31
Not Sure,2021-07-07,37
Not Sure,2021-06-29,36
Not Sure,2021-06-16,33
Not Sure,2021-06-09,34
Not Sure,2021-05-27,35
Not Sure,2021-05-19,33
Not Sure,2021-04-13,36
Not Sure,2021-04-07,32
Not Sure,2021-03-31,33
Not Sure,2021-03-25,34
Not Sure,2021-03-18,33
Not Sure,2021-03-09,35
Not Sure,2021-03-03,33
Not Sure,2021-02-25,34
Not Sure,2021-02-17,32
Not Sure,2021-02-09,34
Not Sure,2021-02-02,30
Not Sure,2021-01-26,34
Not Sure,2021-01-21,32
Not Sure,2021-01-13,34
Not Sure,2021-01-04,32
Refused,2021-12-19,5
Refused,2021-12-14,4
Refused,2021-12-01,4
Refused,2021-11-24,3
Refused,2021-11-17,5
Refused,2021-11-10,3
Refused,2021-10-12,3
Refused,2021-09-15,5
Refused,2021-09-02,5
Refused,2021-08-25,4
Refused,2021-08-11,3
Refused,2021-08-05,5
Refused,2021-07-28,3
Refused,2021-07-15,5
Refused,2021-07-07,5
Refused,2021-06-29,4
Refused,2021-06-16,5
Refused,2021-06-09,5
Refused,2021-05-27,3
Refused,2021-05-19,4
Refused,2021-04-13,4
Refused,2021-04-07,4
Refused,2021-03-31,3
Refused,2021-03-25,2
Refused,2021-03-18,3
Refused,2021-03-09,3
Refused,2021-03-03,2
Refused,2021-02-25,3
Refused,2021-02-17,4
Refused,2021-02-09,2
Refused,2021-02-02,4
Refused,2021-01-26,4
Refused,2021-01-21,4
Refused,2021-01-13,3
Refused,2021-01-04,3
