areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-07-21,929
K02000001,United Kingdom,overview,2021-07-20,937
K02000001,United Kingdom,overview,2021-07-19,876
K02000001,United Kingdom,overview,2021-07-18,799
K02000001,United Kingdom,overview,2021-07-17,709
K02000001,United Kingdom,overview,2021-07-16,701
K02000001,United Kingdom,overview,2021-07-15,772
K02000001,United Kingdom,overview,2021-07-14,756
K02000001,United Kingdom,overview,2021-07-13,751
K02000001,United Kingdom,overview,2021-07-12,733
K02000001,United Kingdom,overview,2021-07-11,594
K02000001,United Kingdom,overview,2021-07-10,552
K02000001,United Kingdom,overview,2021-07-09,561
K02000001,United Kingdom,overview,2021-07-08,610
K02000001,United Kingdom,overview,2021-07-07,569
K02000001,United Kingdom,overview,2021-07-06,574
K02000001,United Kingdom,overview,2021-07-05,517
K02000001,United Kingdom,overview,2021-07-04,467
K02000001,United Kingdom,overview,2021-07-03,392
K02000001,United Kingdom,overview,2021-07-02,391
K02000001,United Kingdom,overview,2021-07-01,372
K02000001,United Kingdom,overview,2021-06-30,416
K02000001,United Kingdom,overview,2021-06-29,368
K02000001,United Kingdom,overview,2021-06-28,310
K02000001,United Kingdom,overview,2021-06-27,270
K02000001,United Kingdom,overview,2021-06-26,267
K02000001,United Kingdom,overview,2021-06-25,256
K02000001,United Kingdom,overview,2021-06-24,255
K02000001,United Kingdom,overview,2021-06-23,278
K02000001,United Kingdom,overview,2021-06-22,239
K02000001,United Kingdom,overview,2021-06-21,230
K02000001,United Kingdom,overview,2021-06-20,206
K02000001,United Kingdom,overview,2021-06-19,213
K02000001,United Kingdom,overview,2021-06-18,241
K02000001,United Kingdom,overview,2021-06-17,242
K02000001,United Kingdom,overview,2021-06-16,229
K02000001,United Kingdom,overview,2021-06-15,232
K02000001,United Kingdom,overview,2021-06-14,228
K02000001,United Kingdom,overview,2021-06-13,222
K02000001,United Kingdom,overview,2021-06-12,178
K02000001,United Kingdom,overview,2021-06-11,179
K02000001,United Kingdom,overview,2021-06-10,201
K02000001,United Kingdom,overview,2021-06-09,194
K02000001,United Kingdom,overview,2021-06-08,190
K02000001,United Kingdom,overview,2021-06-07,176
K02000001,United Kingdom,overview,2021-06-06,155
K02000001,United Kingdom,overview,2021-06-05,126
K02000001,United Kingdom,overview,2021-06-04,123
K02000001,United Kingdom,overview,2021-06-03,129
K02000001,United Kingdom,overview,2021-06-02,130
K02000001,United Kingdom,overview,2021-06-01,154
K02000001,United Kingdom,overview,2021-05-31,127
K02000001,United Kingdom,overview,2021-05-30,113
K02000001,United Kingdom,overview,2021-05-29,104
K02000001,United Kingdom,overview,2021-05-28,142
K02000001,United Kingdom,overview,2021-05-27,128
K02000001,United Kingdom,overview,2021-05-26,132
K02000001,United Kingdom,overview,2021-05-25,134
K02000001,United Kingdom,overview,2021-05-24,139
K02000001,United Kingdom,overview,2021-05-23,115
K02000001,United Kingdom,overview,2021-05-22,120
K02000001,United Kingdom,overview,2021-05-21,124
K02000001,United Kingdom,overview,2021-05-20,133
K02000001,United Kingdom,overview,2021-05-19,127
K02000001,United Kingdom,overview,2021-05-18,127
K02000001,United Kingdom,overview,2021-05-17,102
K02000001,United Kingdom,overview,2021-05-16,80
K02000001,United Kingdom,overview,2021-05-15,91
K02000001,United Kingdom,overview,2021-05-14,93
K02000001,United Kingdom,overview,2021-05-13,107
K02000001,United Kingdom,overview,2021-05-12,119
K02000001,United Kingdom,overview,2021-05-11,113
K02000001,United Kingdom,overview,2021-05-10,104
K02000001,United Kingdom,overview,2021-05-09,104
K02000001,United Kingdom,overview,2021-05-08,109
K02000001,United Kingdom,overview,2021-05-07,105
K02000001,United Kingdom,overview,2021-05-06,122
K02000001,United Kingdom,overview,2021-05-05,120
K02000001,United Kingdom,overview,2021-05-04,103
K02000001,United Kingdom,overview,2021-05-03,123
K02000001,United Kingdom,overview,2021-05-02,120
K02000001,United Kingdom,overview,2021-05-01,101
K02000001,United Kingdom,overview,2021-04-30,110
K02000001,United Kingdom,overview,2021-04-29,101
K02000001,United Kingdom,overview,2021-04-28,112
K02000001,United Kingdom,overview,2021-04-27,167
K02000001,United Kingdom,overview,2021-04-26,134
K02000001,United Kingdom,overview,2021-04-25,138
K02000001,United Kingdom,overview,2021-04-24,129
K02000001,United Kingdom,overview,2021-04-23,155
K02000001,United Kingdom,overview,2021-04-22,120
K02000001,United Kingdom,overview,2021-04-21,172
K02000001,United Kingdom,overview,2021-04-20,137
K02000001,United Kingdom,overview,2021-04-19,177
K02000001,United Kingdom,overview,2021-04-18,141
K02000001,United Kingdom,overview,2021-04-17,158
K02000001,United Kingdom,overview,2021-04-16,159
K02000001,United Kingdom,overview,2021-04-15,162
K02000001,United Kingdom,overview,2021-04-14,196
K02000001,United Kingdom,overview,2021-04-13,181
K02000001,United Kingdom,overview,2021-04-12,207
K02000001,United Kingdom,overview,2021-04-11,204
K02000001,United Kingdom,overview,2021-04-10,188
K02000001,United Kingdom,overview,2021-04-09,205
K02000001,United Kingdom,overview,2021-04-08,208
K02000001,United Kingdom,overview,2021-04-07,234
K02000001,United Kingdom,overview,2021-04-06,224
K02000001,United Kingdom,overview,2021-04-05,238
K02000001,United Kingdom,overview,2021-04-04,197
K02000001,United Kingdom,overview,2021-04-03,223
K02000001,United Kingdom,overview,2021-04-02,238
K02000001,United Kingdom,overview,2021-04-01,233
K02000001,United Kingdom,overview,2021-03-31,269
