areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,12/06/2021,169
K02000001,United Kingdom,overview,11/06/2021,161
K02000001,United Kingdom,overview,10/06/2021,158
K02000001,United Kingdom,overview,09/06/2021,159
K02000001,United Kingdom,overview,08/06/2021,154
K02000001,United Kingdom,overview,07/06/2021,148
K02000001,United Kingdom,overview,06/06/2021,145
K02000001,United Kingdom,overview,05/06/2021,135
K02000001,United Kingdom,overview,04/06/2021,130
K02000001,United Kingdom,overview,03/06/2021,134
K02000001,United Kingdom,overview,02/06/2021,129
K02000001,United Kingdom,overview,01/06/2021,136
K02000001,United Kingdom,overview,31/05/2021,122
K02000001,United Kingdom,overview,30/05/2021,124
K02000001,United Kingdom,overview,29/05/2021,119
K02000001,United Kingdom,overview,28/05/2021,124
K02000001,United Kingdom,overview,27/05/2021,120
K02000001,United Kingdom,overview,26/05/2021,125
K02000001,United Kingdom,overview,25/05/2021,128
K02000001,United Kingdom,overview,24/05/2021,121
K02000001,United Kingdom,overview,23/05/2021,120
K02000001,United Kingdom,overview,22/05/2021,123
K02000001,United Kingdom,overview,21/05/2021,124
K02000001,United Kingdom,overview,20/05/2021,123
K02000001,United Kingdom,overview,19/05/2021,122
K02000001,United Kingdom,overview,18/05/2021,124
K02000001,United Kingdom,overview,17/05/2021,125
K02000001,United Kingdom,overview,16/05/2021,123
K02000001,United Kingdom,overview,15/05/2021,121
K02000001,United Kingdom,overview,14/05/2021,124
K02000001,United Kingdom,overview,13/05/2021,129
K02000001,United Kingdom,overview,12/05/2021,136
K02000001,United Kingdom,overview,11/05/2021,138
K02000001,United Kingdom,overview,10/05/2021,149
K02000001,United Kingdom,overview,09/05/2021,144
K02000001,United Kingdom,overview,08/05/2021,151
K02000001,United Kingdom,overview,07/05/2021,159
K02000001,United Kingdom,overview,06/05/2021,163
K02000001,United Kingdom,overview,05/05/2021,182
K02000001,United Kingdom,overview,04/05/2021,181
K02000001,United Kingdom,overview,03/05/2021,187
K02000001,United Kingdom,overview,02/05/2021,196
K02000001,United Kingdom,overview,01/05/2021,188
K02000001,United Kingdom,overview,30/04/2021,185
K02000001,United Kingdom,overview,29/04/2021,196
K02000001,United Kingdom,overview,28/04/2021,208
K02000001,United Kingdom,overview,27/04/2021,214
K02000001,United Kingdom,overview,26/04/2021,227
K02000001,United Kingdom,overview,25/04/2021,231
K02000001,United Kingdom,overview,24/04/2021,240
K02000001,United Kingdom,overview,23/04/2021,243
K02000001,United Kingdom,overview,22/04/2021,261
K02000001,United Kingdom,overview,21/04/2021,276
K02000001,United Kingdom,overview,20/04/2021,300
